Update: 2017-09-29

### No. starts from 0

### Type (Category)
0	床	Floor
1	壁紙	Wallpaper
2	窓	Window
3	壁掛け	Tapestry
4	家具	Furniture
5	机	Desk

### Season value seems to has relation with "Need Furniture fiary" and "Buy on sale with Furniture fairy"

ID	Type	No.	Name	Rarity	Price	Is for sale?	Season	Description
1	0	0	鎮守府の床	0	0	0	0	鎮守府の艦隊司令官室。その通常仕様の床板です。
2	0	1	ナチュラルな床	1	50	0	0	天然木を使用した明るい木目が特徴の床です。
3	0	2	桜舞う春のフローリング	3	1700	0	0	高級仕上げの床に舞う桜の<br>花びら。春の季節ならでは<br>のフローリングです。艦娘<br>たちとの鎮守府庭でのお花<br>見も楽しいですね！
4	0	3	新緑のフローリング	3	1300	0	0	しっかりとした木板で構成<br>された、木と新緑の香り漂<br>うフローリングです。作戦<br>室にはもちろん、教室の床<br>材としても最適ですね！
5	0	4	高級フローリング	1	100	0	0	高級なマホガニー仕様の重厚なフローリング。地味にセンスの光る提督の執務室にぴったり！
6	0	5	砂浜の床	4	2000	0	0	匠の職人の技によって完成<br>した海岸の砂浜を鎮守府内<br>にダイナミックに再現した<br>砂浜の床。艦娘たちも時々<br>砂遊びに来るみたいです！
7	0	6	ブルーカーペット	1	150	1	0	出撃して高揚した気分も落ち着く、青色のカーペット。艦娘たちもお気に入りです。
8	0	7	明るいウッドタイルの床	0	0	0	0	高級素材を惜しげもなく使用した贅沢なタイルの床。
9	0	8	白い石板タイル	1	150	0	0	足元から明るい気分になれる白いタイル。洗練されたデザインは、モダンなインテリアにもよく合います！
10	0	9	暗めのウッドタイルの床	0	0	0	0	ダークブラウンで格調高い印象の高級な床。
11	0	10	手編みとフローリング	5	3300	0	0	シンプルだけど手入れが行<br>き届いたフローリングの上<br>にちょこんと置かれたクッ<br>ションと途中まで編まれた<br>艦娘の手編みのマフラー。
12	0	11	小花柄カーペット	2	200	0	0	まるで草原にいるような心和む緑のカーペット。床とのコーディネートは、優しい気持ちにさせてくれます。
13	0	12	冬の丸絨毯	3	1800	0	0	丸い形の暖かい絨毯です。<br>冬の季節にぴったりの和み<br>絨毯は駆逐艦娘たちにも好<br>評です。高品質かつお求め<br>やすいお値段もポイント。
14	0	13	桜の床	5	20000	0	0	春、桜の季節。そんな桜の<br>季節を満開で味わうための<br>床です。匠の技と心意気を<br>感じる逸品です。鎮守府内<br>でのお花見もいいですね！
15	0	14	冬のカーペット	3	1500	0	0	寒い冬を温かく過ごすため<br>の冬用カーペットです。暖<br>色系のデザインと柔らかな<br>風合いで、冬の鎮守府でも<br>快適に過ごせそう。
16	0	15	雪模様の特製絨毯	4	2000	0	25	選び抜かれた高級な素材を<br>ふんだんに使用して、職人<br>が作り上げた雪模様の特製<br>絨毯です。白が似合う艦娘<br>達にも大好評の逸品です。
17	0	16	ピンクの床	1	1200	0	0	ガーリーなピンクに仕上げられた床。どこかのお店のような不思議な雰囲気を醸し出します。
18	0	17	畳＆梅柄カーペット	4	2300	0	0	高品質な畳の上に、職人が<br>腕によりをかけて作りあげ<br>た新しい梅柄をあしらった<br>カーペットを配しました。<br>和洋折衷の逸品です。
19	0	18	睦月の床	4	2100	0	0	高品質の床板をある駆逐艦<br>娘たちがさらに磨き上げて<br>くれました。冬の鎮守府の<br>庭に咲いた、雪椿がそっと<br>置かれています。
20	0	19	西欧風カーペット	3	300	0	0	大胆な柄が部屋の印象を明るく演出してくれます。お馬さんのぬいぐるみもポイント高し。
21	0	20	真っ赤な高級絨毯	2	800	0	0	高級な素材で仕上げられた真っ赤な絨毯。何かが三倍早くなるような気もしますが、それは気のせいです！紅茶セットも素敵デース！
